"","Year","Month","Day","Extent","Missing"
"486","1981",6,"  20",12.216,"      0.000"
"487","1981",6,"  22",12.064,"      0.000"
"488","1981",6,"  24",12.003,"      0.000"
"489","1981",6,"  26",12.013,"      0.000"
"490","1981",6,"  28",11.796,"      0.000"
"491","1981",6,"  30",11.787,"      0.000"
"492","1981",7,"  02",11.428,"      0.000"
"493","1981",7,"  04",11.33,"      0.000"
"494","1981",7,"  06",11.181,"      0.000"
"495","1981",7,"  08",11.022,"      0.000"
"496","1981",7,"  10",10.894,"      0.000"
"497","1981",7,"  12",10.691,"      0.000"
"498","1981",7,"  14",10.643,"      0.000"
"499","1981",7,"  16",10.354,"      0.000"
"500","1981",7,"  18",10.127,"      0.000"
"501","1981",7,"  20",9.826,"      0.000"
"502","1981",7,"  22",9.788,"      0.000"
"503","1981",7,"  24",9.538,"      0.000"
"504","1981",7,"  26",9.22,"      0.000"
"505","1981",7,"  28",9.106,"      0.000"
"506","1981",7,"  30",8.917,"      0.000"
"507","1981",8,"  01",8.733,"      0.000"
"508","1981",8,"  03",8.587,"      0.000"
"509","1981",8,"  05",8.326,"      0.000"
"510","1981",8,"  07",8.176,"      0.000"
"511","1981",8,"  09",8,"      0.000"
"512","1981",8,"  11",7.917,"      0.000"
"513","1981",8,"  13",7.883,"      0.000"
"514","1981",8,"  15",7.804,"      0.000"
"515","1981",8,"  17",7.724,"      0.000"
"516","1981",8,"  19",7.667,"      0.000"
"517","1981",8,"  21",7.593,"      0.000"
"518","1981",8,"  23",7.53,"      0.000"
"519","1981",8,"  25",7.495,"      0.000"
"520","1981",8,"  27",7.408,"      0.000"
"521","1981",8,"  29",7.296,"      0.000"
"522","1981",8,"  31",7.37,"      0.000"
"523","1981",9,"  02",7.203,"      0.000"
"524","1981",9,"  04",7.162,"      0.000"
"525","1981",9,"  06",6.992,"      0.000"
"526","1981",9,"  08",7.046,"      0.000"
"527","1981",9,"  10",6.902,"      0.000"
"528","1981",9,"  12",6.904,"      0.000"
"529","1981",9,"  14",6.952,"      0.000"
"530","1981",9,"  16",6.951,"      0.000"
"531","1981",9,"  18",7.002,"      0.000"
"532","1981",9,"  20",7.053,"      0.000"
"533","1981",9,"  22",7.231,"      0.000"
"534","1981",9,"  24",7.261,"      0.000"
"535","1981",9,"  26",7.303,"      0.000"
"536","1981",9,"  28",7.489,"      0.000"
"537","1981",9,"  30",7.626,"      0.000"
"538","1981",10,"  02",7.987,"      0.000"
"539","1981",10,"  04",8.087,"      0.000"
"540","1981",10,"  06",8.151,"      0.000"
"541","1981",10,"  08",8.354,"      0.000"
"542","1981",10,"  10",8.416,"      0.000"
"543","1981",10,"  12",8.63,"      0.000"
"544","1981",10,"  14",8.904,"      0.000"
"545","1981",10,"  16",9.037,"      0.000"
"546","1981",10,"  18",9.062,"      0.000"
"547","1981",10,"  20",9.134,"      0.000"
"548","1981",10,"  22",9.096,"      0.000"
"549","1981",10,"  24",9.233,"      0.000"
"550","1981",10,"  26",9.425,"      0.000"
"551","1981",10,"  28",9.609,"      0.000"
"552","1981",10,"  30",9.719,"      0.000"
"553","1981",11,"  01",9.905,"      0.000"
"554","1981",11,"  03",9.929,"      0.000"
"555","1981",11,"  05",10.337,"      0.000"
"556","1981",11,"  07",10.518,"      0.000"
"557","1981",11,"  09",10.51,"      0.000"
"558","1981",11,"  11",10.631,"      0.000"
"559","1981",11,"  13",10.908,"      0.000"
"560","1981",11,"  15",10.965,"      0.000"
"561","1981",11,"  17",11.197,"      0.000"
"562","1981",11,"  19",11.177,"      0.000"
"563","1981",11,"  21",11.273,"      0.000"
"564","1981",11,"  23",11.417,"      0.000"
"565","1981",11,"  25",11.611,"      0.000"
"566","1981",11,"  27",11.675,"      0.000"
"567","1981",11,"  29",11.882,"      0.000"
"568","1981",12,"  01",11.99,"      0.000"
"569","1981",12,"  03",12.336,"      0.000"
"570","1981",12,"  05",12.507,"      0.000"
"571","1981",12,"  07",12.698,"      0.000"
"572","1981",12,"  09",12.816,"      0.000"
"573","1981",12,"  11",12.948,"      0.000"
"574","1981",12,"  13",13.217,"      0.000"
"575","1981",12,"  15",13.418,"      0.000"
"576","1981",12,"  17",13.635,"      0.000"
"577","1981",12,"  19",13.802,"      0.000"
"578","1981",12,"  21",13.893,"      0.000"
"579","1981",12,"  23",13.877,"      0.000"
"580","1981",12,"  25",14.016,"      0.000"
"581","1981",12,"  27",13.953,"      0.000"
"582","1981",12,"  29",14.128,"      0.000"
"583","1981",12,"  31",14.224,"      0.000"
"584","1982",1,"  02",14.479,"      0.000"
"585","1982",1,"  04",14.642,"      0.000"
"586","1982",1,"  06",14.88,"      0.000"
"587","1982",1,"  08",14.993,"      0.000"
"588","1982",1,"  10",15.052,"      0.000"
"589","1982",1,"  12",15.141,"      0.000"
"590","1982",1,"  14",15.138,"      0.000"
"591","1982",1,"  16",15.22,"      0.000"
"592","1982",1,"  18",15.227,"      0.000"
"593","1982",1,"  20",15.208,"      0.000"
"594","1982",1,"  22",15.283,"      0.000"
"595","1982",1,"  24",15.391,"      0.000"
"596","1982",1,"  26",15.547,"      0.000"
"597","1982",1,"  28",15.695,"      0.000"
"598","1982",1,"  30",15.755,"      0.000"
"599","1982",2,"  01",15.836,"      0.000"
"600","1982",2,"  03",15.841,"      0.000"
"601","1982",2,"  05",15.85,"      0.000"
"602","1982",2,"  07",15.797,"      0.000"
"603","1982",2,"  09",15.829,"      0.000"
"604","1982",2,"  11",15.748,"      0.000"
"605","1982",2,"  13",15.854,"      0.000"
